Channel,Partner,Mature,Language,Date Created,Total Followers,Total Views,Average Viewers,Average Stream Duration,Game 1,Game 2,Game 3
xQcOW,True,False,English,12th Sep 2014,3304332,181684052,41867,10.6,Fall Guys,Among Us,Just Chatting
GamesDoneQuick,True,False,English,20th May 2011,1757864,316544272,20951,12.0,Pokémon Sword/Shield,The Legend of Zelda: Ocarina of Time,Final Fantasy VII Remake
Gaules,True,True,Portuguese,9th Nov 2017,1801190,168804695,12478,32.5,Counter-Strike: Global Offensive,Motorsport Manager,Sea of Thieves
NICKMERCS,True,False,English,13th Sep 2010,4164599,120040003,53908,6.8,Call of Duty: Modern Warfare,Fall Guys,Apex Legends
TimTheTatman,True,True,English,8th Oct 2012,5435934,204381030,54775,7.2,Call of Duty: Modern Warfare,Just Chatting,Fall Guys
Dota2RuHub,True,False,Russian,28th Aug 2015,789806,248105654,11521,21.2,Dota 2,,
shroud,True,False,English,3rd Nov 2012,8157772,381882492,65305,7.1,VALORANT,Call of Duty: Modern Warfare,Just Chatting
auronplay,True,False,Spanish,3rd Sep 2019,4097920,44735232,86824,3.5,Grand Theft Auto V,Fall Guys,Fortnite
LCS,True,False,English,16th May 2016,1212592,104576329,54551,6.0,League of Legends,,
Rubius,True,False,Spanish,12th Jan 2013,5853960,80792046,56190,4.9,Grand Theft Auto V,Fall Guys,Just Chatting
LEC,True,False,English,16th May 2016,1043452,85142212,29668,5.1,League of Legends,,
sodapoppin,True,True,English,21st Nov 2011,2797691,328005054,21466,10.7,World of Warcraft,Risk of Rain 2,Among Us
ESL_CSGO,True,False,English,11th Jun 2012,4004126,500240940,7831,35.0,Counter-Strike: Global Offensive,,
summit1g,True,False,English,1st Dec 2011,5333033,393184963,15268,10.4,Guild Wars 2,Call of Duty: Modern Warfare,The Elder Scrolls Online
LIRIK,True,False,English,27th Jun 2011,2673923,359574334,25783,6.5,Fall Guys,Just Chatting,New World
loltyler1,True,False,English,13th Nov 2013,3556991,176091235,22037,9.0,League of Legends,Fall Guys,Just Chatting
Asmongold,True,False,English,20th Nov 2011,1607373,133360176,43007,7.2,World of Warcraft,New World,Fall Guys
WePlayEsport_EN,True,False,English,31st Jul 2014,196466,28101310,6720,6.9,Dota 2,,
juansguarnizo,True,False,Spanish,10th Apr 2016,1291187,17618441,16370,9.4,Just Chatting,Grand Theft Auto V,Fall Guys
Fextralife,True,False,English,6th May 2017,510113,996067517,19482,4.7,Horizon Zero Dawn,Fall Guys,Call of Duty: Modern Warfare
Clix,True,False,English,22nd Jun 2018,2171867,39121366,35514,8.1,Fortnite,Just Chatting,Unlisted on Twitch
ibai,True,False,Spanish,20th Feb 2015,2043827,53213387,30895,3.5,Fall Guys,Just Chatting,Grand Theft Auto V
Reborn_Live,True,True,Spanish,14th Dec 2015,736169,12153249,25418,6.6,Grand Theft Auto V,Fall Guys,Just Chatting
alanzoka,True,False,Portuguese,5th Dec 2012,3495657,121745706,25376,7.0,Spiritfarer,VALORANT,Fall Guys
LCK_Korea,True,False,Korean,14th Jan 2018,629784,178799395,34429,6.4,League of Legends,,
Tfue,True,False,English,1st Apr 2014,9002582,234073388,19721,7.1,Call of Duty: Modern Warfare,Fall Guys,Fortnite
풍월량 (hanryang1125),True,False,Korean,6th Oct 2015,497135,99822054,14785,10.4,Dead by Daylight,Just Chatting,Fall Guys
ROSHTEIN,False,True,English,6th Oct 2014,386508,29048456,13107,10.6,Slots,Fall Guys,Half-Life: Counter-Strike
CohhCarnage,True,False,English,6th Dec 2011,1268237,168417301,12065,4.9,Fall Guys,Horizon Zero Dawn,Yakuza 6: The Song of Life
HasanAbi,True,False,English,23rd Mar 2018,482524,18548265,11978,9.0,Just Chatting,Dark Souls III,Fall Guys
TheGrefg,True,False,Spanish,11th Sep 2013,3935517,50731439,40855,3.2,Minecraft,Fortnite,Fall Guys
Symfuhny,True,True,English,27th Jun 2012,2400826,47443482,13003,9.2,Call of Duty: Modern Warfare,Rogue Company,Fall Guys
YoDa,True,False,Portuguese,3rd Aug 2013,1813774,179188467,17307,6.8,League of Legends,New World,Just Chatting
RocketLeague,True,False,English,26th Feb 2014,1427350,133623827,56830,6.1,Rocket League,,
Bugha,True,False,English,12th Feb 2015,3037870,60244620,17704,5.6,Fortnite,Among Us,Fall Guys
한동숙 (handongsuk),True,False,Korean,13th Nov 2016,388370,73929900,13578,7.5,Lost Ark Online,League of Legends,Just Chatting
LCK,True,False,English,16th May 2016,952062,91429118,31141,5.8,League of Legends,,
benjyfishy,True,False,English,22nd Jul 2014,1836843,24482772,25317,4.8,Fortnite,Fall Guys,Among Us
RiotGamesBrazil,True,False,Portuguese,28th Sep 2012,1023896,178605060,32667,4.5,League of Legends,Teamfight Tactics,
DrLupo,True,False,English,16th Apr 2012,4185289,123599047,10930,5.5,Escape From Tarkov,Fall Guys,Call of Duty: Modern Warfare
OgamingLoL,True,False,French,24th Sep 2014,527697,218031442,4098,31.4,League of Legends,,
NOBRU,True,False,Portuguese,31st Mar 2020,1676163,7504479,22441,4.2,Garena Free Fire,Grand Theft Auto V,Call of Duty: Modern Warfare
Mizkif,True,False,English,28th Jun 2015,609210,21443853,12030,7.6,Among Us,Fall Guys,Just Chatting
JonVlogs,True,False,Portuguese,9th Oct 2015,528074,6222724,4096,67.8,Grand Theft Auto V,Just Chatting,Virtual Casino
